Sample.ID	ENA	Family.ID	Sex
HG03522	ERR2304566	NG109	F
HG02975	ERR2304571	NG23	M
HG03101	ERR2304596	NG26	M
HG03122	ERR2304574	NG33	M
HG03131	ERR2304558	NG36	M
HG03170	ERR2304561	NG49	M
HG03302	ERR2304572	NG75	M
HG03308	ERR2304575	NG77	M
HG03041	ERR2304589	GB110	F
HG02563	ERR2304592	GB18	M
HG02622	ERR2304594	GB31	F
HG02723	ERR2304599	GB52	F
HG02770	ERR2304557	GB57	F
HG02773	ERR2304556	GB58	M
HG02853	ERR2304568	GB78	M
HG02984	ERR2304554	GB97	M
HG03098	ERR2304551	SL16	M
HG03065	ERR2304587	SL5	M
HG03453	ERR2304578	SL50	F
HG03486	ERR2304567	SL61	F
HG03576	ERR2304580	SL71	F
HG03579	ERR2304559	SL72	M
HG03584	ERR2304570	SL73	F
HG00450	ERR2304588	SH016	F
HG00585	ERR2304563	SH054	F
HG00597	ERR2304591	SH058	F
HG00612	ERR2304593	SH063	F
HG00615	ERR2304590	SH064	F
HG00652	ERR2304577	SH072	F
HG00658	ERR2304583	SH074	M
HG00664	ERR2304569	SH076	M
HG00685	ERR2304552	SH083	M
HG02015	ERR2304573	VN46	M
HG02068	ERR2304553	VN64	F
HG02071	ERR2304581	VN65	M
HG02074	ERR2304585	VN66	M
HG02129	ERR2304555	VN79	M
HG02514	ERR2304560	VN87	M
HG02523	ERR2304576	VN90	F
HG02526	ERR2304600	VN91	F
HG01629	ERR2304579	IBS015	M
HG01627	ERR2304582	IBS016	M
HG01622	ERR2304586	IBS017	F
HG01621	ERR2304562	IBS018	M
HG01683	ERR2304597	IBS030	M
HG01687	ERR2304598	IBS031	F
HG01706	ERR2304584	IBS038	F
HG01755	ERR2304564	IBS044	F
HG01763	ERR2304595	IBS046	F
HG01772	ERR2304565	IBS049	F
HG03520	ERR1955423	NG109	F
HG03521	ERR1955529	NG109	M
HG02973	ERR1955524	NG23	M
HG02974	ERR1955438	NG23	F
HG03099	ERR1955419	NG26	F
HG03100	ERR1955398	NG26	M
HG03120	ERR1955487	NG33	M
HG03121	ERR1955462	NG33	F
HG03129	ERR1955431	NG36	F
HG03130	ERR1955515	NG36	M
HG03168	ERR1955528	NG49	F
HG03169	ERR1955413	NG49	M
HG03300	ERR1955481	NG75	F
HG03301	ERR1955427	NG75	M
HG03306	ERR1955461	NG77	F
HG03307	ERR1955397	NG77	M
HG03039	ERR1955482	GB110	M
HG03040	ERR1955432	GB110	F
HG03246	ERR1955464	GB116	M
HG03247	ERR1955457	GB116	F
HG02561	ERR1955477	GB18	M
HG02562	ERR1955470	GB18	F
HG02620	ERR1955538	GB31	M
HG02621	ERR1955469	GB31	F
HG02721	ERR1955430	GB52	M
HG02722	ERR1955493	GB52	F
HG02768	ERR1955460	GB57	M
HG02769	ERR1955534	GB57	F
HG02771	ERR1955420	GB58	M
HG02772	ERR1955443	GB58	F
HG02851	ERR1955406	GB78	M
HG02852	ERR1955527	GB78	F
HG02982	ERR1955429	GB97	M
HG02983	ERR1955425	GB97	F
HG03069	ERR1955463	NA	M
HG03445	ERR1955516	NA	M
HG03096	ERR1955451	SL16	M
HG03097	ERR1955526	SL16	F
HG03063	ERR1955476	SL5	M
HG03064	ERR1955512	SL5	F
HG03451	ERR1955513	SL50	M
HG03452	ERR1955488	SL50	F
HG03484	ERR1955412	SL61	M
HG03485	ERR1955424	SL61	F
HG03574	ERR1955479	SL71	M
HG03575	ERR1955468	SL71	F
HG03577	ERR1955519	SL72	M
HG03578	ERR1955498	SL72	F
HG03582	ERR1955401	SL73	M
HG03583	ERR1955535	SL73	F
HG00844	ERR1955450	NA	M
HG00881	ERR1955542	NA	M
HG00982	ERR1955485	NA	M
HG02356	ERR1955446	NA	M
HG02372	ERR1955440	NA	M
HG02373	ERR1955467	NA	M
HG02374	ERR1955415	NA	M
HG02375	ERR1955449	NA	M
HG02381	ERR1955405	NA	M
HG02383	ERR1955455	NA	M
HG02384	ERR1955511	NA	M
HG02385	ERR1955421	NA	M
HG02386	ERR1955441	NA	M
HG02388	ERR1955465	NA	M
HG02391	ERR1955503	NA	M
HG02409	ERR1955500	NA	M
HG00448	ERR1955522	SH016	M
HG00449	ERR1955416	SH016	F
HG00583	ERR1955459	SH054	M
HG00584	ERR1955453	SH054	F
HG00595	ERR1955506	SH058	M
HG00596	ERR1955452	SH058	F
HG00610	ERR1955402	SH063	M
HG00611	ERR1955523	SH063	F
HG00613	ERR1955497	SH064	M
HG00614	ERR1955501	SH064	F
HG00650	ERR1955407	SH072	M
HG00651	ERR1955530	SH072	F
HG00656	ERR1955478	SH074	M
HG00657	ERR1955484	SH074	F
HG00662	ERR1955507	SH076	M
HG00663	ERR1955495	SH076	F
HG00683	ERR1955540	SH083	M
HG00684	ERR1955437	SH083	F
HG02016	ERR1955417	VN46	F
HG02017	ERR1955409	VN46	M
HG02069	ERR1955456	VN64	F
HG02070	ERR1955422	VN64	M
HG02072	ERR1955434	VN65	F
HG02073	ERR1955525	VN65	M
HG02075	ERR1955505	VN66	F
HG02076	ERR1955448	VN66	M
HG02130	ERR1955414	VN79	F
HG02131	ERR1955436	VN79	M
HG02512	ERR1955533	VN87	M
HG02513	ERR1955466	VN87	F
HG02521	ERR1955510	VN90	M
HG02522	ERR1955518	VN90	F
HG02524	ERR1955472	VN91	M
HG02525	ERR1955400	VN91	F
HG00181	ERR1955428	NA	M
HG00185	ERR1955475	NA	M
HG00190	ERR1955496	NA	M
HG00267	ERR1955520	NA	M
HG00273	ERR1955486	NA	M
HG00277	ERR1955489	NA	M
HG00280	ERR1955396	NA	M
HG00284	ERR1955514	NA	M
HG00351	ERR1955490	NA	M
HG00358	ERR1955473	NA	M
HG00366	ERR1955442	NA	M
HG00369	ERR1955458	NA	M
HG00371	ERR1955408	NA	M
HG00372	ERR1955395	NA	M
HG00096	ERR1955393	NA	M
HG00098	ERR1955394	NA	M
HG00101	ERR1955403	NA	M
HG00103	ERR1955439	NA	M
HG00107	ERR1955492	NA	M
HG00108	ERR1955418	NA	M
HG00109	ERR1955541	NA	M
HG00115	ERR1955445	NA	M
HG00116	ERR1955508	NA	M
HG00117	ERR1955517	NA	M
HG00119	ERR1955447	NA	M
HG00131	ERR1955399	NA	M
HG00136	ERR1955474	NA	M
HG00139	ERR1955521	NA	M
HG00256	ERR1955502	NA	M
HG00264	ERR1955426	NA	M
HG01628	ERR1955483	IBS015	F
HG01630	ERR1955494	IBS015	M
HG01625	ERR1955537	IBS016	M
HG01626	ERR1955536	IBS016	F
HG01623	ERR1955531	IBS017	F
HG01624	ERR1955454	IBS017	M
HG01619	ERR1955411	IBS018	M
HG01620	ERR1955480	IBS018	F
HG01682	ERR1955404	IBS030	M
HG01684	ERR1955491	IBS030	F
HG01685	ERR1955444	IBS031	F
HG01686	ERR1955539	IBS031	M
HG01707	ERR1955410	IBS038	F
HG01708	ERR1955504	IBS038	M
HG01756	ERR1955433	IBS044	M
HG01757	ERR1955532	IBS044	F
HG01761	ERR1955471	IBS046	M
HG01762	ERR1955509	IBS046	F
HG01770	ERR1955435	IBS049	F
HG01771	ERR1955499	IBS049	M
